"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2020,9,"9E","Endeavor Air Inc.","ABY","Albany, GA: Southwest Georgia Regional",60.00,3.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,131.00,100.00,0.00,31.00,0.00,0.00,
2020,9,"9E","Endeavor Air Inc.","ACK","Nantucket, MA: Nantucket Memorial",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2020,9,"9E","Endeavor Air Inc.","AEX","Alexandria, LA: Alexandria International",60.00,5.00,4.84,0.00,0.16,0.00,0.00,0.00,1.00,206.00,199.00,0.00,7.00,0.00,0.00,
2020,9,"9E","Endeavor Air Inc.","AGS","Augusta, GA: Augusta Regional at Bush Field",121.00,3.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,130.00,87.00,0.00,24.00,0.00,19.00,
2020,9,"9E","Endeavor Air Inc.","ALB","Albany, NY: Albany International",88.00,4.00,2.94,0.00,1.06,0.00,0.00,0.00,0.00,169.00,151.00,0.00,18.00,0.00,0.00,
2020,9,"9E","Endeavor Air Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",4046.00,138.00,73.35,7.90,21.66,0.00,35.09,21.00,0.00,11823.00,8243.00,804.00,613.00,0.00,2163.00,
2020,9,"9E","Endeavor Air Inc.","ATW","Appleton, WI: Appleton International",180.00,2.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,56.00,0.00,0.00,17.00,0.00,39.00,
2020,9,"9E","Endeavor Air Inc.","AVL","Asheville, NC: Asheville Regional",103.00,4.00,1.37,1.00,1.63,0.00,0.00,0.00,0.00,77.00,28.00,19.00,30.00,0.00,0.00,
2020,9,"9E","Endeavor Air Inc.","BDL","Hartford, CT: Bradley International",118.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,117.00,117.00,0.00,0.00,0.00,0.00,
2020,9,"9E","Endeavor Air Inc.","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",60.00,2.00,0.75,0.00,1.25,0.00,0.00,0.00,0.00,58.00,27.00,0.00,31.00,0.00,0.00,
2020,9,"9E","Endeavor Air Inc.","BNA","Nashville, TN: Nashville International",60.00,3.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,101.00,74.00,0.00,27.00,0.00,0.00,
2020,9,"9E","Endeavor Air Inc.","BQK","Brunswick, GA: Brunswick Golden Isles",60.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,24.00,0.00,0.00,0.00,0.00,
2020,9,"9E","Endeavor Air Inc.","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",90.00,2.00,0.83,0.00,1.17,0.00,0.00,0.00,0.00,72.00,25.00,0.00,47.00,0.00,0.00,
2020,9,"9E","Endeavor Air Inc.","BTV","Burlington, VT: Burlington International",90.00,3.00,2.80,0.00,0.20,0.00,0.00,0.00,0.00,99.00,96.00,0.00,3.00,0.00,0.00,
2020,9,"9E","Endeavor Air Inc.","BUF","Buffalo, NY: Buffalo Niagara International",90.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00,54.00,0.00,0.00,0.00,0.00,
2020,9,"9E","Endeavor Air Inc.","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",58.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,95.00,0.00,0.00,0.00,0.00,
2020,9,"9E","Endeavor Air Inc.","CAE","Columbia, SC: Columbia Metropolitan",169.00,5.00,3.00,0.00,2.00,0.00,0.00,0.00,0.00,215.00,173.00,0.00,42.00,0.00,0.00,
2020,9,"9E","Endeavor Air Inc.","CHA","Chattanooga, TN: Lovell Field",200.00,9.00,6.88,0.00,2.12,0.00,0.00,0.00,0.00,552.00,472.00,0.00,80.00,0.00,0.00,
