,Job Titles,Department,Full or Part-Time,Salary or Hourly,Typical Hours,Annual Salary,Hourly Rate
0,SERGEANT,POLICE,F,Salary,,101442.0,
1,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,94122.0,
2,CHIEF CONTRACT EXPEDITER,FLEET & FACILITY MANAGEMENT,F,Salary,,111024.0,
3,CIVIL ENGINEER IV,WATER MGMNT,F,Salary,,114780.0,
4,POLICE OFFICER,POLICE,F,Salary,,48078.0,
5,TRAFFIC CONTROL AIDE-HOURLY,OEMC,P,Hourly,20.0,,19.86
6,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,F,Salary,,51948.0,
7,ELECTRICAL MECHANIC,AVIATION,F,Hourly,40.0,,48.35
8,FIRE ENGINEER-EMT,FIRE,F,Salary,,103350.0,
9,POLICE OFFICER,POLICE,F,Salary,,93354.0,
10,FOSTER GRANDPARENT,FAMILY & SUPPORT,P,Hourly,20.0,,2.65
11,POLICE OFFICER,POLICE,F,Salary,,68616.0,
12,POLICE OFFICER,POLICE,F,Salary,,84054.0,
13,POLICE OFFICER,POLICE,F,Salary,,87006.0,
14,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,F,Salary,,105804.0,
15,POLICE OFFICER,POLICE,F,Salary,,48078.0,
16,SERGEANT,POLICE,F,Salary,,101442.0,
17,FIREFIGHTER/PARAMEDIC,FIRE,F,Salary,,94476.0,
18,ENGINEERING TECHNICIAN VI,WATER MGMNT,F,Salary,,116280.0,
19,FIREFIGHTER-EMT,FIRE,F,Salary,,95484.0,
20,ELECTRICAL MECHANIC (AUTOMOTIVE),FLEET & FACILITY MANAGEMENT,F,Hourly,40.0,,48.35
21,ASST CORPORATION COUNSEL I,LAW,F,Salary,,61884.0,
22,GENERAL LABORER - DSS,STREETS & SAN,F,Hourly,40.0,,24.46
23,POLICE OFFICER,POLICE,F,Salary,,90024.0,
24,PARAMEDIC I/C,FIRE,F,Salary,,91080.0,
25,POLICE OFFICER,POLICE,F,Salary,,48078.0,
26,POLICE OFFICER,POLICE,F,Salary,,48078.0,
27,POLICE OFFICER,POLICE,F,Salary,,72510.0,
28,POLICE OFFICER,POLICE,F,Salary,,80016.0,
29,POLICE OFFICER,POLICE,F,Salary,,72510.0,
30,SENIOR PROGRAMMER/ANALYST,FAMILY & SUPPORT,F,Salary,,114780.0,
31,INVESTIGATOR-COPA,COPA,F,Salary,,66204.0,
32,CIVIL ENGINEER IV,WATER MGMNT,F,Salary,,114780.0,
33,CIVIL ENGINEER II,WATER MGMNT,F,Salary,,62904.0,
34,POLICE OFFICER,POLICE,F,Salary,,84054.0,
35,POLICE OFFICER,POLICE,F,Salary,,76266.0,
36,SUPERINTENDENT OF SPECIAL TRAFFIC SERVICES,OEMC,F,Salary,,70272.0,
37,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
38,POLICE OFFICER,POLICE,F,Salary,,72510.0,
39,POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
40,OPERATING ENGINEER-GROUP C,WATER MGMNT,F,Hourly,40.0,,48.17
41,FIREFIGHTER-EMT,FIRE,F,Salary,,92274.0,
42,SEWER BRICKLAYER,WATER MGMNT,F,Hourly,40.0,,46.19
43,TRAFFIC SIGNAL REPAIRMAN,TRANSPORTN,F,Salary,,107952.0,
44,PERSONAL COMPUTER OPERATOR III,HEALTH,F,Salary,,73104.0,
45,FIREFIGHTER-EMT,FIRE,F,Salary,,99324.0,
46,POLICE OFFICER,POLICE,F,Salary,,93354.0,
47,POLICE OFFICER,POLICE,F,Salary,,68616.0,
48,ELECTRICAL MECHANIC,AVIATION,F,Hourly,40.0,,48.35
49,SENIOR ENVIRONMENTAL INSPECTOR,HEALTH,F,Salary,,88044.0,
50,POLICE OFFICER,POLICE,F,Salary,,80016.0,
51,POLICE OFFICER,POLICE,F,Salary,,72510.0,
52,FOREMAN OF WATER PIPE CONSTRUCTION,WATER MGMNT,F,Hourly,40.0,,53.25
53,POLICE OFFICER,POLICE,F,Salary,,80016.0,
54,CIVIL ENGINEER II,WATER MGMNT,F,Salary,,96360.0,
55,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,100980.0,
56,FOREMAN OF CONSTRUCTION LABORERS,AVIATION,F,Hourly,40.0,,43.82
